% 1. Title: Oscar Winners - Unlabeled
% 
% 2. Sources: 
%     The Internation Movie Database, Wikipedia
%     Compiled by Alex Cuthbert, Tess Mika, Zach Richards, Rocky Evans
% 
% 3.  Past Usage:
% 
%     None.
%   
% 4.  Relevant Information:
% 
%     This file contains metadata from all the movies that have been nominated for an oscar since 2010.
%   
% 5.  Number of Instances: 162
% 
% 6.  Number of Attributes: 9
% 
% 7.  Attribute Information:
% 
%     runtime:			continuous.
%     rating:			G, PG, PG-13, R.
%     critic_review:		continuous.
%     audience_review:		continuous.
%     budget:			continuous.
%     revenue:			continuous.
%     budget_revenue_ratio:	continuous.
%     net_profit:		continuous.
%     medium:			Live, Animated.
% 
% 8.  Missing Attribute Values:
%     3 cases (1.8%) have one or more missing values.  The missing
%     values from particular attributes are:
% 
%     rating:   1
%     budget:  1
%     revenue:  1

@relation Oscar-Data

@attribute runtime 		real
@attribute rating 		{G, PG, PG-13, R}
@attribute critic_review 	real
@attribute audience_review 	real
@attribute budget 		real
@attribute revenue 		real
@attribute budget_revenue_ratio real
@attribute net_profit 		real
@attribute medium 		{Live, Animated}

@data
103,PG,92,8.2,200,1066,5.33,866,Animated
98,PG,75,8.1,165,494,2.993939394,329,Animated
110,PG-13,68,7.6,16,87,5.4375,71,Animated
118,R,88,8,15,427,28.46666667,412,Live
108,R,79,8,13,329,25.30769231,316,Live
116,R,79,7.8,25,129,5.16,104,Live
148,PG-13,74,8.8,160,836,5.225,676,Live
106,R,86,7,4,34,8.5,30,Live
94,R,82,7.5,18,60,3.333333333,42,Live
120,PG-13,95,7.7,40,224,5.6,184,Live
110,PG-13,80,7.6,38,252,6.631578947,214,Live
100,R,90,7.1,2,13,6.5,11,Live
96,PG,88,8.2,175,735,4.2,560,Animated
100,PG,80,7.7,60,124,2.066666667,64,Animated
87,PG,83,7.9,40,46,1.15,6,Animated
97,PG,73,7.1,105,267,2.542857143,162,Animated
71,PG,81,7.6,8,1.8,0.225,-6.2,Animated
131,R,95,7.5,15,49,3.266666667,34,Live
162,PG-13,83,7.8,237,2833,11.9535865,2596,Live
129,PG-13,53,7.6,29,309,10.65517241,280,Live
112,R,81,7.9,30,210,7,180,Live
100,PG-13,85,7.3,7.5,26,3.466666667,18.5,Live
153,R,69,8.3,70,321,4.585714286,251,Live
110,R,78,7.3,10,63,6.3,53,Live
106,R,84,7,7,31,4.428571429,24,Live
109,R,83,7.4,25,166,6.64,141,Live
97,PG-13,88,8.2,10,0.96,0.096,-9.04,Live
126,R,85,7.6,10,5.4,0.54,-4.6,Live
131,R,79,7,10,0.099,0.0099,-9.901,Live
120,PG-13,88,7.7,2,3.9,1.95,1.9,Live
107,R,93,7.6,5,3,0.6,-2,Live
113,R,72,7.5,10,10.9,1.09,0.9,Live
120,R,82,7.8,20,0.102,0.0051,-19.898,Live
129,R,77,7.8,35,0.107,0.003057142857,-34.893,Live
102,PG,61,7.4,180,141,0.7833333333,-39,Animated
95,PG,60,6.4,10,0.86,0.086,-9.14,Animated
86,PG,79,6.9,25,43,1.72,18,Animated
100,PG,83,8.1,150,111,0.74,-39,Animated
103,PG,87,8.1,10,0.229,0.0229,-9.771,Animated
